Image,ImageNumber,HighReferenceImage,Pipeline,Parameter,MSEToHigh,PSNRToHigh,MeanBrightness,StdContrast,MichelsonContrast,EntropyValue,Comment
748_low.png,748,748_high.png,Original low-light,"",0.100879143342304,9.9619861441366,0.0518469903033934,0.0355384740211846,1,4.7107273066516,"Αρχική low-light εικόνα για βάση σύγκρισης. Το PSNR είναι χαμηλό (9.96 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.0518, τυπική απόκλιση 0.0355, Michelson 1.0000, entropy 4.7107. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
748_low.png,748,748_high.png,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",0.043350291041907,13.6300798244452,0.161738709735814,0.0587114659417644,1,5.79571932010603,"Το PSNR είναι χαμηλό (13.63 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.1617, τυπική απόκλιση 0.0587, Michelson 1.0000, entropy 5.7957. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
748_low.png,748,748_high.png,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",0.0545806583151779,12.6296123046669,0.134475128257643,0.079386002555806,1,6.2053860641787,"Το PSNR είναι χαμηλό (12.63 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.1345, τυπική απόκλιση 0.0794, Michelson 1.0000, entropy 6.2054. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
748_low.png,748,748_high.png,Pipeline 3 - Retinex sigma 15,"sigma=15",0.0585880919731727,12.3219064534485,0.57909699818796,0.167424805341631,1,7.28519484702176,"Το PSNR είναι χαμηλό (12.32 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.5791, τυπική απόκλιση 0.1674, Michelson 1.0000, entropy 7.2852. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
748_low.png,748,748_high.png,Pipeline 3 - Retinex sigma 30,"sigma=30",0.0621579596309112,12.0650324992754,0.590672121419496,0.171274269464951,1,7.3287966239463,"Το PSNR είναι χαμηλό (12.07 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.5907, τυπική απόκλιση 0.1713, Michelson 1.0000, entropy 7.3288. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
748_low.png,748,748_high.png,Pipeline 3 - Retinex sigma 60,"sigma=60",0.0649095891110257,11.8769114001969,0.599474708283224,0.174625332824632,1,7.33703224405517,"Το PSNR είναι χαμηλό (11.88 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.5995, τυπική απόκλιση 0.1746, Michelson 1.0000, entropy 7.3370. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
