Image,ImageNumber,HighReferenceImage,Method,Parameter,MeanBrightness,IntensityVariance,StdContrast,MinIntensity,MaxIntensity,DarkPixelPercent,BrightPixelPercent,SaturatedPixelPercent,MichelsonContrast,Comment
778_low.png,778,778_high.png,Original low-light,"",0.0300412756751427,0.000901941279406528,0.030032337228503,0,0.829543076638991,99.9483333333333,0.00333333333333333,0,1,"Αρχική εικόνα χαμηλού φωτισμού πριν από τους μετασχηματισμούς."
778_low.png,778,778_high.png,Linear stretch,"full range [0,1]",0.0328777909749415,0.00108030598635837,0.0328680085547994,0,0.907869032373144,99.9354166666667,0.00625,0,1,"Η αντίθεση αυξάνεται επειδή το εύρος εντάσεων απλώνεται στο πλήρες δυναμικό εύρος. Ο θόρυβος στις σκοτεινές περιοχές ενισχύεται μαζί με τη χρήσιμη λεπτομέρεια. Δεν δημιουργείται έντονος κορεσμός στις φωτεινές περιοχές."
778_low.png,778,778_high.png,Gamma correction,"gamma = 0.4",0.201786590848214,0.0120354791280908,0.10970633130358,0,0.9267025886078,62.3370833333333,0.0154166666666667,0,1,"Η μικρή τιμή gamma δίνει ισχυρή φωτεινότητα στις σκοτεινές περιοχές. Η μέση φωτεινότητα αλλάζει κατά 0.1717. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
778_low.png,778,778_high.png,Gamma correction,"gamma = 0.6",0.10392005929937,0.00515405253746285,0.0717917302860354,0,0.892720906599588,98.4145833333333,0.00833333333333333,0,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0739. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
778_low.png,778,778_high.png,Gamma correction,"gamma = 0.8",0.055157291809058,0.00214822044775371,0.046348899099695,0,0.860368150252939,99.87875,0.00625,0,1,"Η τιμή gamma φωτίζει τις σκοτεινές περιοχές πιο ήπια. Η μέση φωτεινότητα αλλάζει κατά 0.0251. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
778_low.png,778,778_high.png,Gamma correction,"gamma = 1.2",0.0167292355402411,0.0003962774376993,0.0199067184060884,0,0.800152051765568,99.9683333333333,0.00166666666666667,0,1,"Επειδή η gamma είναι μεγαλύτερη από 1, η εικόνα σκοτεινιάζει αντί να βελτιώνεται για χαμηλό φωτισμό. Η μέση φωτεινότητα αλλάζει κατά -0.0133. Ο κορεσμός των φωτεινών περιοχών παραμένει περιορισμένος."
778_low.png,778,778_high.png,Log transform,"log(1+I)/log(2)",0.042033612662527,0.00165689331707076,0.0407049544536136,0,0.869866163593095,99.90375,0.00625,0,1,"Ανεβάζει τη μέση φωτεινότητα από 0.0300 σε 0.0420 και συμπιέζει τις υψηλές εντάσεις. Σε σύγκριση με gamma 0.4, ο λογαριθμικός μετασχηματισμός είναι πιο ήπιος."
