"Image","ImageNumber","HighReferenceImage","Method","Parameter","MeanBrightness","StdContrast","GradientMean","GradientRatioToBase","LaplacianEnergy","DarkPixelPercent","SaturatedPixelPercent","MSEToHigh","PSNRToHigh","Comment"
"665_low.png","665","665_high.png","Original low-light","","0.0340600344791864","0.0191885664274847","0.00351288373857917","0.422556386152434","0.0177270296190388","99.9991666666667","0","0.208121454931864","6.81683146707044","Αρχική εικόνα χαμηλού φωτισμού πριν από βελτίωση, αποθορυβοποίηση και όξυνση."
"665_low.png","665","665_high.png","Base enhanced denoised","gamma 0.6 + contrast stretch + Gaussian denoise","0.181255265127403","0.0724841527301972","0.00831340823071083","0.999999999999973","0.0129724976589303","84.07375","0","0.0976215088820896","10.1045448397615","Βασική βελτιωμένη και αποθορυβοποιημένη εικόνα που χρησιμοποιείται ως είσοδος για την όξυνση."
"665_low.png","665","665_high.png","Laplacian sharpening","3x3 Laplacian mask","0.181304410659941","0.0741032989166898","0.0121891308925093","1.46620141273476","0.0270769490128379","83.17875","0","0.0975075909173345","10.1096157337649","Laplacian sharpening αυξάνει την ένταση των ακμών και αναδεικνύει λεπτομέρειες. Η υπερενίσχυση παραμένει σχετικά περιορισμένη."
"665_low.png","665","665_high.png","Unsharp masking","k = 0.5","0.181264326330433","0.0731751562243299","0.00990313585585812","1.19122453523627","0.0176780892454168","83.6883333333333","0","0.0975472141015505","10.1078512932021","Το k=0.5 δίνει ήπια όξυνση και συνήθως πιο φυσικό αποτέλεσμα. Ο λόγος gradient προς τη βάση είναι 1.191. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
"665_low.png","665","665_high.png","Unsharp masking","k = 1.0","0.181291894439915","0.0739446098036357","0.0115731763527632","1.39210971380066","0.0224422052088064","83.2695833333333","0","0.0974912714125516","10.1103426580973","Το k=1.0 δίνει πιο καθαρή ανάδειξη λεπτομερειών. Ο λόγος gradient προς τη βάση είναι 1.392. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
"665_low.png","665","665_high.png","Unsharp masking","k = 1.5","0.181348828207129","0.0747679465514293","0.0132803834915797","1.59746557886088","0.0272108535346082","82.7958333333333","0","0.0974471462808666","10.1123087458248","Το k=1.5 δίνει έντονη όξυνση και χρειάζεται προσοχή. Ο λόγος gradient προς τη βάση είναι 1.597. Δεν εμφανίζεται μεγάλη αύξηση κορεσμού ή υπερβολική ενίσχυση ακμών."
