Image,ImageNumber,HighReferenceImage,Method,Parameter,ApproxTileSize,MeanBrightness,IntensityVariance,StdContrast,EntropyValue,DarkPixelPercent,BrightPixelPercent,SaturatedPixelPercent,MichelsonContrast,Comment
669_low.png,669,669_high.png,Original low-light,"",,0.080141176470589,0.0016601261668589,0.0407446458673886,5.27624881239429,99.9970833333333,0,0,0.999999999999999,Αρχική εικόνα χαμηλού φωτισμού πριν από την ισοστάθμιση.
669_low.png,669,669_high.png,Global histogram equalization,"CDF mapping",,0.516015170503473,0.081127381922788,0.284828688728485,5.25028120023651,24.9016666666667,25.1116666666667,2.42333333333333,0.986598736026554,Η global ισοστάθμιση αυξάνει την αντίθεση επειδή απλώνει το ιστόγραμμα σε μεγαλύτερο εύρος. Η ισχυρή αύξηση της αντίθεσης μπορεί να κάνει πιο ορατό τον θόρυβο στις σκοτεινές περιοχές.
669_low.png,669,669_high.png,Adaptive histogram equalization,"NumTiles=[4 4], ClipLimit=0.01",about 100x150 pixels,0.22524587420037,0.0172853866794115,0.131473901134071,6.90410919084342,63.87,0,0,0.991864459090261,Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα λιγότερα tiles αντιστοιχούν σε μεγαλύτερα τοπικά παράθυρα και πιο ομαλή μεταβολή.
669_low.png,669,669_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.01",about 50x75 pixels,0.196484227455852,0.0117959434844144,0.108609131680602,6.65513942345977,70.9033333333333,0,0,0.989062604384275,Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα.
669_low.png,669,669_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.03",about 50x75 pixels,0.328109699839277,0.032134982487725,0.179262328691014,7.43024613898065,39.6308333333333,0.895416666666667,0,0.99641826528298,Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα.
669_low.png,669,669_high.png,Adaptive histogram equalization,"NumTiles=[16 16], ClipLimit=0.01",about 25x38 pixels,0.181813293901822,0.0100793635935146,0.100396033753902,6.50640931335575,77.81375,0,0,0.986139887626473,Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα περισσότερα tiles αντιστοιχούν σε μικρότερα τοπικά παράθυρα και δίνουν πιο έντονη τοπική προσαρμογή.
