Image,ImageNumber,Pipeline,Parameter,MeanBrightness,StdContrast,EntropyValue,DarkPixelPercent,SaturatedPixelPercent,Comment
493_low.png,493,Original low-light,"",0.0251649663566211,0.0246007631349398,4.06550507976144,100,0,"Η αρχική εικόνα χρησιμοποιείται ως βάση σύγκρισης. Η μέση φωτεινότητα αλλάζει κατά 0.0000 και η αντίθεση κατά 0.0000. Η ενίσχυση παραμένει σχετικά ελεγχόμενη."
493_low.png,493,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",0.27819517813498,0.19470743445446,6.84978398163831,52.38,0,"Απλή και γρήγορη βελτίωση φωτεινότητας με gamma correction και άνοιγμα του δυναμικού εύρους. Η μέση φωτεινότητα αλλάζει κατά 0.2530 και η αντίθεση κατά 0.1701. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
493_low.png,493,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",0.0815334054567836,0.0682264546341088,5.61298822669317,98.1275,0,"Πιο ισορροπημένη προσέγγιση, επειδή μειώνει θόρυβο, αυξάνει την τοπική αντίθεση και επαναφέρει λεπτομέρειες με unsharp masking. Η μέση φωτεινότητα αλλάζει κατά 0.0564 και η αντίθεση κατά 0.0436. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
493_low.png,493,Pipeline 3 - Retinex sigma 15,"sigma=15",0.507442749064022,0.188080350400817,7.51462911874571,8.67166666666667,0.00458333333333333,"Η Retinex-like μέθοδος με sigma=15 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.4823 και η αντίθεση κατά 0.1635. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
493_low.png,493,Pipeline 3 - Retinex sigma 30,"sigma=30",0.489778041696462,0.194437682455584,7.56300885769719,10.5520833333333,0.00208333333333333,"Η Retinex-like μέθοδος με sigma=30 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.4646 και η αντίθεση κατά 0.1698. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
493_low.png,493,Pipeline 3 - Retinex sigma 60,"sigma=60",0.482640273770589,0.197808615342712,7.57265667726574,11.1958333333333,0.00125,"Η Retinex-like μέθοδος με sigma=60 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.4575 και η αντίθεση κατά 0.1732. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
