Image,ImageNumber,HighReferenceImage,Method,Parameter,ApproxTileSize,MeanBrightness,IntensityVariance,StdContrast,EntropyValue,DarkPixelPercent,BrightPixelPercent,SaturatedPixelPercent,MichelsonContrast,Comment
1_low.png,1,1_high.png,Original low-light,"",,0.126107222222223,0.0135884520353699,0.11656951589232,5.84843513260013,85.4895833333333,0,0,1,Αρχική εικόνα χαμηλού φωτισμού πριν από την ισοστάθμιση.
1_low.png,1,1_high.png,Global histogram equalization,"CDF mapping",,0.511259255729166,0.0807742129302197,0.284208045153932,5.7697165279627,23.1033333333333,25.9820833333333,2.01833333333333,0.999333555481506,Η global ισοστάθμιση αυξάνει την αντίθεση επειδή απλώνει το ιστόγραμμα σε μεγαλύτερο εύρος. Η ισχυρή αύξηση της αντίθεσης μπορεί να κάνει πιο ορατό τον θόρυβο στις σκοτεινές περιοχές.
1_low.png,1,1_high.png,Adaptive histogram equalization,"NumTiles=[4 4], ClipLimit=0.01",about 100x150 pixels,0.261488337069259,0.0254330105234126,0.159477304101281,7.09277644173439,55.40125,0,0,0.994514194033324,Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα λιγότερα tiles αντιστοιχούν σε μεγαλύτερα τοπικά παράθυρα και πιο ομαλή μεταβολή.
1_low.png,1,1_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.01",about 50x75 pixels,0.253296223542244,0.0259096382440194,0.160964711176144,7.15855636912804,56.8883333333333,0.09375,0,0.994593150890176,Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα.
1_low.png,1,1_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.03",about 50x75 pixels,0.37537034789012,0.036774039706922,0.191765585303834,7.57035903654962,28.5970833333333,3.25666666666667,0.00333333333333333,0.997872340425532,Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα.
1_low.png,1,1_high.png,Adaptive histogram equalization,"NumTiles=[16 16], ClipLimit=0.01",about 25x38 pixels,0.2402911796697,0.0231853142052956,0.15226724600286,7.09733108309596,58.4120833333333,0.0541666666666667,0,0.991700160115021,Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα περισσότερα tiles αντιστοιχούν σε μικρότερα τοπικά παράθυρα και δίνουν πιο έντονη τοπική προσαρμογή.
