Image,ImageNumber,HighReferenceImage,BestPipeline,PSNRToHigh,MSEToHigh,MeanBrightness,StdContrast,EntropyValue
1_low.png,1,1_high.png,Pipeline 1 - Gamma + stretch,15.8887422082708,0.0257706741210646,0.351004134484726,0.213899520979196,7.04874657328847
22_low.png,22,22_high.png,Pipeline 1 - Gamma + stretch,16.6670711756975,0.0215423403178266,0.399243229751466,0.198842023533987,7.16727741209543
23_low.png,23,23_high.png,Pipeline 3 - Retinex sigma 60,13.3779173437611,0.0459418273740869,0.647821816287543,0.210859126944546,7.35724573403521
55_low.png,55,55_high.png,Pipeline 3 - Retinex sigma 60,15.3558228242938,0.0291351808065274,0.620984202241752,0.252236036647338,7.66165889740705
79_low.png,79,79_high.png,Pipeline 3 - Retinex sigma 60,21.0831397541626,0.00779266532103037,0.6627704416822,0.194460482893857,7.4133594719394
111_low.png,111,111_high.png,Pipeline 3 - Retinex sigma 60,18.8206174109845,0.0131201336451792,0.608104397639764,0.208502599063501,7.33458823640837
146_low.png,146,146_high.png,Pipeline 3 - Retinex sigma 60,19.7706903274098,0.0105421931094878,0.57973266742695,0.19989462106758,6.62325088070857
179_low.png,179,179_high.png,Pipeline 1 - Gamma + stretch,22.3219093192152,0.00585880533128283,0.283151153618046,0.0731147836180815,6.07496699624206
493_low.png,493,493_high.png,Pipeline 1 - Gamma + stretch,20.3436426982755,0.00923922897176299,0.277935774037303,0.194944040576772,6.8211789615226
547_low.png,547,547_high.png,Pipeline 1 - Gamma + stretch,21.5500030709715,0.00699841501132045,0.458898366998235,0.157277361486075,7.21147084557607
665_low.png,665,665_high.png,Pipeline 3 - Retinex sigma 15,13.2303800148883,0.0475293635140331,0.617858337556543,0.16229562544528,7.04293663923597
669_low.png,669,669_high.png,Pipeline 1 - Gamma + stretch,18.8314404315932,0.0130874777649622,0.409282798346873,0.137397958566157,7.03574770010955
748_low.png,748,748_high.png,Pipeline 1 - Gamma + stretch,13.6300798244452,0.043350291041907,0.161738709735814,0.0587114659417644,5.79571932010603
778_low.png,778,778_high.png,Pipeline 3 - Retinex sigma 60,12.8862201706675,0.051449123798539,0.496949925033937,0.195349205634567,7.5462830794578
780_low.png,780,780_high.png,Pipeline 1 - Gamma + stretch,19.5247982610457,0.0111562997351446,0.169977853101251,0.111856476627735,6.25101704959107
