Image,ImageNumber,HighReferenceImage,Method,Parameter,ApproxTileSize,MeanBrightness,IntensityVariance,StdContrast,EntropyValue,DarkPixelPercent,BrightPixelPercent,SaturatedPixelPercent,MichelsonContrast,Comment
146_low.png,146,146_high.png,Original low-light,"",,0.109340539215687,0.00250436806546602,0.0500436615913146,5.11593150657362,99.9995833333333,0.000416666666666667,0,1,"Αρχική εικόνα χαμηλού φωτισμού πριν από την ισοστάθμιση."
146_low.png,146,146_high.png,Global histogram equalization,"CDF mapping",,0.517902034826389,0.0872241474179468,0.295337345112241,5.1049606284642,24.9416666666667,28.1491666666667,4.39666666666667,0.995311019105103,"Η global ισοστάθμιση αυξάνει την αντίθεση επειδή απλώνει το ιστόγραμμα σε μεγαλύτερο εύρος. Παράλληλα εμφανίζεται αυξημένος κορεσμός, άρα υπάρχει κίνδυνος υπερενίσχυσης."
146_low.png,146,146_high.png,Adaptive histogram equalization,"NumTiles=[4 4], ClipLimit=0.01",about 100x150 pixels,0.270951821720482,0.0155780308349536,0.124811981936646,6.72845798921228,35.9983333333333,0.000416666666666667,0,0.993864734017143,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα λιγότερα tiles αντιστοιχούν σε μεγαλύτερα τοπικά παράθυρα και πιο ομαλή μεταβολή."
146_low.png,146,146_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.01",about 50x75 pixels,0.235697151270199,0.011618770063979,0.107790398756007,6.62653967826813,52.8066666666667,0.000416666666666667,0,0.993562838678574,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα."
146_low.png,146,146_high.png,Adaptive histogram equalization,"NumTiles=[8 8], ClipLimit=0.03",about 50x75 pixels,0.351794903035549,0.0281240947951613,0.167702399491365,7.37185395068733,27.8216666666667,1.0675,0,0.996559792987107,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Η επιλογή 8x8 tiles δίνει ενδιάμεση ισορροπία ανάμεσα σε τοπική λεπτομέρεια και φυσικό αποτέλεσμα."
146_low.png,146,146_high.png,Adaptive histogram equalization,"NumTiles=[16 16], ClipLimit=0.01",about 25x38 pixels,0.220400435237185,0.0103787899084758,0.101876346167674,6.54906553081306,65.1116666666667,0.000416666666666667,0,0.991593508091762,"Η τοπική ισοστάθμιση αποκαλύπτει περισσότερες λεπτομέρειες στις σκοτεινές περιοχές. Το clip limit περιορίζει την υπερβολική ενίσχυση του θορύβου. Τα περισσότερα tiles αντιστοιχούν σε μικρότερα τοπικά παράθυρα και δίνουν πιο έντονη τοπική προσαρμογή."
