Image,ImageNumber,Pipeline,Parameter,MeanBrightness,StdContrast,EntropyValue,DarkPixelPercent,SaturatedPixelPercent,Comment
1_low.png,1,Original low-light,"",0.0966222409649935,0.0913545772505507,5.47584564857042,87.1529166666667,0,"Η αρχική εικόνα χρησιμοποιείται ως βάση σύγκρισης. Η μέση φωτεινότητα αλλάζει κατά 0.0000 και η αντίθεση κατά 0.0000. Η ενίσχυση παραμένει σχετικά ελεγχόμενη."
1_low.png,1,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",0.351006514678164,0.213895300702567,7.0490883940705,46.40125,0,"Απλή και γρήγορη βελτίωση φωτεινότητας με gamma correction και άνοιγμα του δυναμικού εύρους. Η μέση φωτεινότητα αλλάζει κατά 0.2544 και η αντίθεση κατά 0.1225. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
1_low.png,1,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",0.185710577745182,0.128707245050414,6.77530043851518,66.7125,0,"Πιο ισορροπημένη προσέγγιση, επειδή μειώνει θόρυβο, αυξάνει την τοπική αντίθεση και επαναφέρει λεπτομέρειες με unsharp masking. Η μέση φωτεινότητα αλλάζει κατά 0.0891 και η αντίθεση κατά 0.0374. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
1_low.png,1,Pipeline 3 - Retinex sigma 15,"sigma=15",0.562253780822698,0.145481659189799,7.00127662532183,3.6525,0.0295833333333333,"Η Retinex-like μέθοδος με sigma=15 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.4656 και η αντίθεση κατά 0.0541. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
1_low.png,1,Pipeline 3 - Retinex sigma 30,"sigma=30",0.549769589478104,0.147932452707668,7.05015404372132,4.26916666666667,0.02875,"Η Retinex-like μέθοδος με sigma=30 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.4531 και η αντίθεση κατά 0.0566. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
1_low.png,1,Pipeline 3 - Retinex sigma 60,"sigma=60",0.536717169429229,0.152151632560131,7.1270527960576,4.6675,0.02375,"Η Retinex-like μέθοδος με sigma=60 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.4401 και η αντίθεση κατά 0.0608. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
