Image,ImageNumber,Pipeline,Parameter,MeanBrightness,StdContrast,EntropyValue,DarkPixelPercent,SaturatedPixelPercent,Comment
79_low.png,79,Original low-light,"",0.0872326975731605,0.0401631585401842,5.15941354108438,99.9616666666667,0.000833333333333333,"Η αρχική εικόνα χρησιμοποιείται ως βάση σύγκρισης. Η μέση φωτεινότητα αλλάζει κατά 0.0000 και η αντίθεση κατά 0.0000. Η ενίσχυση παραμένει σχετικά ελεγχόμενη."
79_low.png,79,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",0.224625361517393,0.0666421767830893,5.91176312247533,58.1570833333333,0.00125,"Απλή και γρήγορη βελτίωση φωτεινότητας με gamma correction και άνοιγμα του δυναμικού εύρους. Η μέση φωτεινότητα αλλάζει κατά 0.1374 και η αντίθεση κατά 0.0265. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
79_low.png,79,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",0.190274145613451,0.103269714864622,6.52822403125852,66.1470833333333,0.00166666666666667,"Πιο ισορροπημένη προσέγγιση, επειδή μειώνει θόρυβο, αυξάνει την τοπική αντίθεση και επαναφέρει λεπτομέρειες με unsharp masking. Η μέση φωτεινότητα αλλάζει κατά 0.1030 και η αντίθεση κατά 0.0631. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
79_low.png,79,Pipeline 3 - Retinex sigma 15,"sigma=15",0.680879036426609,0.158834512215284,7.07796051264779,2.44833333333333,0.095,"Η Retinex-like μέθοδος με sigma=15 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.5936 και η αντίθεση κατά 0.1187. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
79_low.png,79,Pipeline 3 - Retinex sigma 30,"sigma=30",0.661027322905052,0.173742236086733,7.28924180936163,2.81125,0.116666666666667,"Η Retinex-like μέθοδος με sigma=30 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.5738 και η αντίθεση κατά 0.1336. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
79_low.png,79,Pipeline 3 - Retinex sigma 60,"sigma=60",0.662770389584121,0.19446060314495,7.413590052376,3.48625,0.0658333333333333,"Η Retinex-like μέθοδος με sigma=60 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.5755 και η αντίθεση κατά 0.1543. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
