Image,ImageNumber,HighReferenceImage,Pipeline,Parameter,MSEToHigh,PSNRToHigh,MeanBrightness,StdContrast,MichelsonContrast,EntropyValue,Comment
179_low.png,179,179_high.png,Original low-light,"",0.057846910290914,12.3771983255391,0.0780549838287873,0.0289184313946062,1,4.74940782837157,"Αρχική low-light εικόνα για βάση σύγκρισης. Το PSNR είναι χαμηλό (12.38 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.0781, τυπική απόκλιση 0.0289, Michelson 1.0000, entropy 4.7494. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
179_low.png,179,179_high.png,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",0.00585880533128283,22.3219093192152,0.283151153618046,0.0731147836180815,1,6.07496699624206,"Το PSNR είναι σχετικά καλό (22.32 dB), άρα το αποτέλεσμα βρίσκεται κοντά στη φωτεινή εικόνα αναφοράς. Μέση φωτεινότητα 0.2832, τυπική απόκλιση 0.0731, Michelson 1.0000, entropy 6.0750. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
179_low.png,179,179_high.png,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",0.0222234252851467,16.5318900265023,0.160798818346134,0.0801049444573218,1,6.2437376220018,"Το PSNR είναι μέτριο (16.53 dB), άρα υπάρχει βελτίωση αλλά και διαφορά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.1608, τυπική απόκλιση 0.0801, Michelson 1.0000, entropy 6.2437. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
179_low.png,179,179_high.png,Pipeline 3 - Retinex sigma 15,"sigma=15",0.0564291322568244,12.4849662807429,0.482571201861325,0.139854843016035,1,6.85992338241662,"Το PSNR είναι χαμηλό (12.48 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.4826, τυπική απόκλιση 0.1399, Michelson 1.0000, entropy 6.8599. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
179_low.png,179,179_high.png,Pipeline 3 - Retinex sigma 30,"sigma=30",0.0552604503396131,12.5758558016486,0.481991316059662,0.142122674948961,1,6.89396164656063,"Το PSNR είναι χαμηλό (12.58 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.4820, τυπική απόκλιση 0.1421, Michelson 1.0000, entropy 6.8940. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
179_low.png,179,179_high.png,Pipeline 3 - Retinex sigma 60,"sigma=60",0.0547549203725064,12.6157684827573,0.482235489060848,0.143957724563975,1,6.92994951063874,"Το PSNR είναι χαμηλό (12.62 dB), άρα το αποτέλεσμα απέχει αρκετά από τη φωτεινή αναφορά. Μέση φωτεινότητα 0.4822, τυπική απόκλιση 0.1440, Michelson 1.0000, entropy 6.9299. Η αντίθεση είναι υψηλή και μπορεί να κάνει ορατές περισσότερες λεπτομέρειες."
