Image,ImageNumber,Pipeline,Parameter,MeanBrightness,StdContrast,EntropyValue,DarkPixelPercent,SaturatedPixelPercent,Comment
55_low.png,55,Original low-light,"",0.038170383408303,0.0318249731461922,4.61568692638885,100,0,"Η αρχική εικόνα χρησιμοποιείται ως βάση σύγκρισης. Η μέση φωτεινότητα αλλάζει κατά 0.0000 και η αντίθεση κατά 0.0000. Η ενίσχυση παραμένει σχετικά ελεγχόμενη."
55_low.png,55,Pipeline 1 - Gamma + stretch,"gamma=0.6, full range stretch",0.283865819396703,0.178903963312358,6.93870866442099,43.4045833333333,0,"Απλή και γρήγορη βελτίωση φωτεινότητας με gamma correction και άνοιγμα του δυναμικού εύρους. Η μέση φωτεινότητα αλλάζει κατά 0.2457 και η αντίθεση κατά 0.1471. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
55_low.png,55,Pipeline 2 - Median + CLAHE + unsharp,"median 3x3, CLAHE 8x8 clip 0.01, unsharp k=0.8",0.112333804961804,0.084376437453786,6.02121694028804,91.6579166666667,0,"Πιο ισορροπημένη προσέγγιση, επειδή μειώνει θόρυβο, αυξάνει την τοπική αντίθεση και επαναφέρει λεπτομέρειες με unsharp masking. Η μέση φωτεινότητα αλλάζει κατά 0.0742 και η αντίθεση κατά 0.0526. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
55_low.png,55,Pipeline 3 - Retinex sigma 15,"sigma=15",0.635532279818825,0.216232036280733,7.34083685612136,7.31916666666667,0.0154166666666667,"Η Retinex-like μέθοδος με sigma=15 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.5974 και η αντίθεση κατά 0.1844. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
55_low.png,55,Pipeline 3 - Retinex sigma 30,"sigma=30",0.623170851640541,0.231147572971302,7.50354618234896,8.93333333333333,0.0345833333333333,"Η Retinex-like μέθοδος με sigma=30 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.5850 και η αντίθεση κατά 0.1993. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
55_low.png,55,Pipeline 3 - Retinex sigma 60,"sigma=60",0.620983182044373,0.252233378553546,7.66369449852824,10.8754166666667,0.190416666666667,"Η Retinex-like μέθοδος με sigma=60 εκτιμά τον φωτισμό με Gaussian smoothing και ενισχύει την τοπική αντίθεση. Η μέση φωτεινότητα αλλάζει κατά 0.5828 και η αντίθεση κατά 0.2204. Η μεγαλύτερη entropy δείχνει περισσότερη ορατή πληροφορία, αλλά μπορεί να περιλαμβάνει και θόρυβο."
